brand,model,price,description,category,country,source,sourceType,url
Fujifilm,instax,"1,399.00 EGP",Fujifilm instax Mini 8,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-slim-cameras/instax-mini-fujifilm/p/398195
Nikon,A100,"1,699.00 EGP",Nikon Digital Compact Camera coolpix 20 Mega Pixel - A100,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-slim-cameras/nikon-camera-a100/p/487414
Fujifilm, ,"1,799.00 EGP",Fujifilm Instax Mini 9 Instant Film Camera,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-bridge-cameras/fujifilm-instax-mini-9-kit-/p/480999
MEDIATECH,H/T MT-B 861,"1,999.00 EGP",MEDIATECH H/T MT-B 861 5.1,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/computer-gaming/computer-accessories/pc-speakers/mediatech-h-t-mt-b-861-5-1/p/494926
Nokia,,"2,099.00 EGP",Nokia Egypt 32 Inch HD TV,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-32-nokia-egypt/p/376529
Panasonic,TH-32F312M,"2,999.00 EGP",Panasonic 32 Inch HD TV - TH-32F312M,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-panasonic-th-32f312m/p/495109
BTC,40ML65-EKC,"3,699.00 EGP",BTC 40 Inch Full HD LED TV - 40ML65-EKC,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-40-btc-40ml65-ekc/p/497762
Nikon,B500,"3,999.00 EGP","Nikon Coolpix Digital Camera, 16 Megapixel, Black -  B500",Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/slr-cameras/camera-b500-nikon/p/455582
Tornado,43EL7100E,"4,699.00 EGP",Tornado 43 Inch Full HD TV  - 43EL7100E,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-tornado-43el7100e/p/474124
Tornado,43EL7140E/30E,"4,699.00 EGP",Tornado 43 Inch Full HD TV - 43EL7140E/30E,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-tornado-43el7140e-30e/p/480644
Ultra,UT43SU/O,"4,749.00 EGP",Ultra 43 Inch Smart Full HD TV - UT43SU/O,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-ultra-ut43su-o-smart/p/488677
LED,ML43UR60,"4,899.00 EGP",LED 43 UNIONAIRE ML43UR60 SMART,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-unionaire-ml43ur60-smart/p/490620
Panasonic,TH40F312M,"4,999.00 EGP",Panasonic 40 Inch Full HD TV - TH40F312M,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-40-panasonic-th-40f312m/p/495162
Toshiba,43L261MEA,"5,199.00 EGP",Toshiba 43 Inch Full HD TV - 43L261MEA,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-toshiba-43l261mea/p/479999
Nokia,NK-49D1,"5,299.00 EGP",Nokia Egypt 49 Inch Smart LED TV - NK-49D1,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-nokia-egypt-nk-49d1-smart/p/480169
LG,43LK5130PVD,"5,699.00 EGP",LG 43 Inch Full HD LED TV With Built-In Receiver - 43LK5130PVD,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-lg-43lk5130-fhd-rcvr/p/500245
Tornado,49EL7100E,"5,799.00 EGP",Tornado 49 Inch Full HD TV - 49EL7100E,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-tornado-49el7100e/p/477946
JAC,55AS,"6,449.00 EGP",JAC 55 Inch Full HD LED TV - 55AS,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-55-jac-55as/p/471586
Toshiba,49L570MEA,"6,499.00 EGP",Toshiba 49 Inch Smart Full HD TV - 49L570MEA,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-toshiba-49l570mea-smart/p/477944
LG,43LJ510V,"6,499.00 EGP",LG 43 Inch Full HD With Built in Receiver TV - 43LJ510V,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-lg-43lj510v-rcvr/p/471719
Toshiba,43L570MEA,"6,849.00 EGP",Toshiba 43 Inch Smart Full HD TV - 43L570MEA,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-toshiba-43l570mea-smart/p/477943
TCL,49P3M,"6,999.00 EGP",TCL 49 Inch Smart Full HD TV - 49P3M,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/led-49-tcl-49p3m-curve-smart/p/499894
LG,49LK5730,"7,199.00 EGP",LG 49 Inch Smart Full HD With Built in Receiver TV - 49LK5730,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-tv-49-lg-49lk5730-smart-rcvr/p/488015
LG,49UK6300,"8,299.00 EGP",LG 49 Inch Smart 4K UHD With Built in Receiver TV - 49UK6300,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-40-to-50-/led-tv-49-lg-49uk6300-uhd-smart-rcv/p/488016
Toshiba,55L571MEA,"8,399.00 EGP",Toshiba 55 Inch Smart Full HD LED TV - 55L571MEA,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-55-toshiba-55l571mea-smart/p/486103
LG,55UK6300PVB,"9,499.00 EGP",LG 55 Inch Smart UHD LED TV - 55UK6300PVB,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-tv-55-lg-55uk6300pvb-uhd-smart/p/487141
Samsung,UA58NU7105,"9,799.00 EGP",Samsung 58 Inch Smart 4K UHD TV With Built in Receiver - UA58NU7105,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-tv-58-samsung-ua58nu7105-uhd-sm/p/500488
Samsung,UA55NU7100,"11,999.00 EGP",Samsung 55 Inch Smart 4K UHD With Built in Receiver TV - UA55NU7100,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-tv-55-samsung-ua55nu7100-uhd-sm/p/490744
