url,keyfeatures,brand,price,source,category
https://www.croma.com/lg-55lj550t-139cm-55inch-full-hd-led-smart-tv-2017-edition-/p/203587,"[""Full HD 1920 x 1080 Resolution"",""Miracast Technology"",""Intel WiDi"",""Colour Master Engine"",""webOS""]",LG 55LJ550T 139cm (55inch) Full HD LED Smart TV (2017 Edition),"84,990",croma,tv
https://www.croma.com/sony-kd-49x8200e-124cm-49inch-ultra-hd-4k-led-smart-tv/p/203680,"["" 124.46 cms Wide Vibrant Display "","" Bravia Screen"","" 4 HDMI Ports"","" Miracast Technology""]",Sony KD-49X8200E 124cm (49inch) Ultra HD 4K LED Smart TV,"99,990",croma,tv
https://www.croma.com/sony-kd-55x9500e-140cm-55inch-4k-ultra-hd-led-smart-tv/p/203682,"[""Triluminuos Display"",""Double Edged LED Panels"",""Front-facing Woofers"",""Miracast Technology""]",Sony KD-55X9500E 140cm (55inch) 4K Ultra HD LED Smart TV,"199,990",croma,tv
https://www.croma.com/sony-kd-75x9400e-190cm-75inch-4k-ultra-hd-led-smart-tv/p/203683,"[""Crystal Clear Picture"",""4K HDR Processor X1 Extreme"",""75 inches screen"",""Internet Connectivity"",""Supports Dolby Formats""]",Sony KD-75X9400E 190cm (75inch) 4K Ultra HD LED Smart TV,"499,990",croma,tv
https://www.croma.com/croma-led-full-hd-55cm-22inch-el7068/p/203747,"[""Full HD (1920 x 1080)p"",""A + Grade, Zero Dot Panel"",""1 x HDMI | 1 x USB"",""Bluetooth Enabled""]",Croma LED Full HD 55cm (22inch) - EL7068,"8,490",croma,tv
https://www.croma.com/croma-led-full-hd-140cm-55inch-smart-el7333/p/203748,"[""Full HD (1920 x 1080)p"",""A + Grade, Zero Dot Panel"",""2 x HDMI | 2 x USB"",""Built-in Ethernet port and Wi-Fi module"",""Screen mirroring""]",Croma LED Full HD 140cm (55inch) Smart - EL7333,"46,990",croma,tv
https://www.croma.com/hitachi-led-4k-140cm-55inch-smart-ld55sys02u-ciw/p/203749,"[""4K (3480x2160)p | Web OS Linux 6.0.1"",""Dolby Surround Decoder, Co-axial output"",""1GB RAM | 8GB ROM, Dual Core 1.0GHz"",""2 x HDMI (1 ARC Enabled) | 2 x USB""]",Hitachi LED 4k 140cm (55inch) Smart - LD55SYS02U-CIW,"79,990",croma,tv
https://www.croma.com/hitachi-led-4k-165cm-65inch-smart-ld65sys02u-ciw/p/203750,"[""4K (3480x2160)p | Web OS Linux 6.0.1"",""Dolby Surround Decoder, Co-axial output"",""1GB RAM | 8GB ROM, Dual Core 1.0GHz"",""2 x HDMI (1 ARC Enabled) | 2 x USB""]",Hitachi LED 4K 165cm (65inch) Smart - LD65SYS02U-CIW,"129,990",croma,tv
https://www.croma.com/croma-led-full-hd-109cm-43inch-smart-el7332/p/203754,"[""Full HD (1920 x 1080)p"",""A + Grade, Zero Dot Panel"",""2 x HDMI | 2 x USB"",""Built-in Ethernet port and Wi-Fi module"",""Screen mirroring""]",Croma LED Full HD 109cm (43inch) Smart - EL7332,"28,990",croma,tv
https://www.croma.com/sony-kd-43x7002e-109-22cm-43inch-4k-ultra-hd-led-smart-tv/p/203760,"[""Miracast Technology"",""3 HDMI ports"",""3 USB ports"",""Dolby Digital Sound""]",Sony KD-43X7002E 109.22cm (43inch) 4K Ultra HD LED Smart TV,"60,990",croma,tv
https://www.croma.com/samsung-ua65mu7500-165cm-65inch-uhd-4k-led-smart-tv-2017-edition-/p/203643,"["" 65-inch Curved Screen "","" Motion Rate 240 Technology "","" 4K Ultra HD Resolution "","" 4K HDR Pro Technology ""]",Samsung UA65MU7500 165cm (65inch) UHD 4K LED Smart TV (2017 Edition),"316,825",croma,tv
https://www.croma.com/samsung-ua55mu7500klxl-140cm-55inch-uhd-4k-smart-led-tv-2017-edition-/p/203645,"["" Motion Rate 240 Technology "","" 55-inch Curved Screen "","" HDR1000 Technology "","" 4K Ultra HD Resolution "","" Peak Illuminator Pro Technology ""]",Samsung UA55MU7500KLXL 140cm (55inch) UHD 4K Smart LED TV (2017 Edition),"189,814",croma,tv
https://www.croma.com/sony-kd-65x9300e-165cm-65inch-4k-hdr-led-tv/p/203647,"[""4K Resolution and High Dynamic Range for Stunning Picture Quality"",""X-tended Dynamic Range PRO Contrast filter"",""Triluminos Display for Vibrant Pictures"",""Dual-layered Slim Backlight Drive"",""Ultra Slim Design"",""Life-like Gaming Experience"",""Android Operating System"",""Wider Colour Gamut""]",Sony KD-65X9300E 165cm (65inch) 4K HDR LED TV,"219,990",croma,tv
https://www.croma.com/sony-kd-55x9000e-139cm-55inch-4k-hdr-ultra-hd-tv/p/203648,"["" Triluminos Display "","" Miracast Technology "","" Dolby Digital"","" HDMI Ports""]",Sony KD-55X9000E 139cm (55inch) 4K HDR Ultra HD TV,"129,990",croma,tv
https://www.croma.com/panasonic-th-43e200dx-109-3cm-43inch-full-hd-led-tv/p/203649,"[""178 Degree Viewing Angle"",""20W Audio Output"",""2 x Full Range Speakers"",""V-Audio Surround Sound"",""Adaptive Backlight Dimming""]",Panasonic TH-43E200DX 109.3cm (43inch) Full HD LED TV,"43,990",croma,tv
