sellingPrice,url,model,seller,HDMI_Location,HDMI,regularPrice,source,brand,category,categories
"₹39,999",https://www.flipkart.com/kodak-140cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmeyeg2bggerzww?pid=TVSEYEG2QSEW3FGW&srno=b_2_59&otracker=browse&lid=LSTTVSEYEG2QSEW3FGWWF9ZJ3&fm=organic&iid=1c10d503-ecf4-4885-b91a-50cf6ca1225d.TVSEYEG2QSEW3FGW.SEARCH,55UHDXSMART,OmniTechRetail (4.1),3 Side,3,"₹70,990",flipkart,Kodak,tv,"[""1 TV Unit"",""Remote Control"",""2 AAA Batteries"",""Power Cord"",""Cable Tie"",""User Manual"",""Vesa Wall Mounting Brackets""]"
"₹11,999",https://www.flipkart.com/lg-lh454a-60cm-24-inch-hd-ready-led-tv/p/itmejnn8ehkzcsbu?pid=TVSEJNN8CCZD7KZ9&srno=b_2_60&otracker=browse&lid=LSTTVSEJNN8CCZD7KZ9TQCC4I&fm=organic&iid=4a9fabed-f775-4a65-9682-0325ce309b67.TVSEJNN8CCZD7KZ9.SEARCH,24LH454A,OmniTechRetail (4.1),Back,1,"₹12,199",flipkart,LG,tv,"[""TV Unit"",""Conventional Remote""]"
"₹14,999",https://www.flipkart.com/intex-avoir-80cm-32-inch-hd-ready-led-smart-tv/p/itmewzhtrngfbbrm?pid=TVSEWZHTRCTZDVUN&srno=b_2_61&otracker=browse&lid=LSTTVSEWZHTRCTZDVUN6RG4NS&fm=organic&iid=d225275c-6e72-47d1-86e5-99e5d3dc0cbe.TVSEWZHTRCTZDVUN.SEARCH,32Smart Splash Plus,OmniTechRetail (4.1),2 Bottom,2,"₹24,990",flipkart,Intex,tv,"[""TV, Remote, User Manual""]"
"₹16,999",https://www.flipkart.com/panasonic-80cm-32-inch-hd-ready-led-tv/p/itmevt89zfk26zqg?pid=TVSEVT89AFVUZ5GW&srno=b_2_62&otracker=browse&lid=LSTTVSEVT89AFVUZ5GWIF7GT3&fm=organic&iid=cbe532ab-ba1e-456b-9c05-a655f0ffc54e.TVSEVT89AFVUZ5GW.SEARCH,TH-32E400D,OmniTechRetail (4.1),"1 Side, 1 Rear",2,"₹24,900",flipkart,Panasonic,tv,"[""TV, Remote, Power Cable, User Manual, Pedestal, Wall Mount""]"
"₹23,999",https://www.flipkart.com/lg-lj573d-80cm-32-inch-hd-ready-led-smart-tv/p/itmf3xq4nmmdb6sh?pid=TVSEURNCJMSMKGG7&srno=b_2_63&otracker=browse&lid=LSTTVSEURNCJMSMKGG7C0HKXV&fm=organic&iid=ee0b24ba-43f3-459b-b72c-58d4248c872f.TVSEURNCJMSMKGG7.SEARCH,32LJ573D,OmniTechRetail (4.1),"1 Side, 1 Rear",2,"₹30,990",flipkart,LG,tv,"[""1 TV Unit,Conventional Remote""]"
"₹44,999",https://www.flipkart.com/sony-108cm-43-inch-full-hd-led-smart-tv/p/itmet82vrst2nhtq?pid=TVSET82VAKQC4VG7&srno=b_2_64&otracker=browse&lid=LSTTVSET82VAKQC4VG79EZB1O&fm=organic&iid=037d6135-2db4-490a-8192-cf7fa31ec2c7.TVSET82VAKQC4VG7.SEARCH,KLV-43W772E,OmniTechRetail (4.1),2 Side,2,"₹57,900",flipkart,Sony,tv,"[""1 TV"",""1 Warranty Card"",""1 AC Adapter"",""1 AC Power Cord"",""1 Remote Control"",""2 Batteries"",""1 Table Top Stand"",""3 Instruction Manuals""]"
"₹10,499",https://www.flipkart.com/panasonic-59-8cm-24-inch-hd-ready-led-tv/p/itmevt89rgxgfucf?pid=TVSEVT89CJMCXBJ6&srno=b_3_81&otracker=browse&lid=LSTTVSEVT89CJMCXBJ6ATZIP0&fm=organic&iid=4eb0f795-30f4-4937-ae46-87f89754211d.TVSEVT89CJMCXBJ6.SEARCH,TH-24E201DX,OmniTechRetail (4.1),Bottom,1,"₹16,990",flipkart,Panasonic,tv,"[""Wall Mount - Shipped with TV unit"",""Remote""]"
"₹31,499",https://www.flipkart.com/sony-80-1cm-32-inch-full-hd-led-smart-tv/p/itmf5fjurbbkthjc?pid=TVSF5FJUZ6AWHAPM&srno=b_3_82&otracker=browse&lid=LSTTVSF5FJUZ6AWHAPM7ZS9TC&fm=organic&iid=aee6b547-bf87-4296-a159-e310b434fa31.TVSF5FJUZ6AWHAPM.SEARCH,W672F,OmniTechRetail (4.1),2 Side,2,"₹39,900",flipkart,Sony,tv,"[""1 TV Unit"",""Table Top Stand"",""Remote Control"",""Batteries"",""AC Power Adaptor"",""AC Power Cord"",""Operating Instructions"",""Quick Setup Guide""]"
"₹13,499",https://www.flipkart.com/sanyo-nxt-80cm-32-inch-hd-ready-led-tv/p/itmewdeevjxqensh?pid=TVSEWDEEA4CRZENT&srno=b_3_83&otracker=browse&lid=LSTTVSEWDEEA4CRZENTMFFLXM&fm=organic&iid=a1304066-cefc-458d-a876-583c48b627c9.TVSEWDEEA4CRZENT.SEARCH,XT-32S7200H,OmniTechRetail (4.1),"2 Side, 1 Bottom",3,"₹20,990",flipkart,Sanyo,tv,"[""TV Set, Pedestal, Remote, Batteries (2), AV Out Cable, User Manual, Wall Mount""]"
"₹50,999",https://www.flipkart.com/sanyo-139cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmfy5t4hzwwgjgf?pid=TVSFY5T3FMBCHSFC&srno=b_3_84&otracker=browse&lid=LSTTVSFY5T3FMBCHSFCUYTO9W&fm=organic&iid=35b604d1-01ac-4698-851e-c327f2597c92.TVSFY5T3FMBCHSFC.SEARCH,XT-55S8200U,OmniTechRetail (4.1),"2 Side, 1 Bottom",3,"₹76,990",flipkart,Sanyo,tv,"[""1 TV Unit"",""Pedestal"",""Remote"",""2 Batteries"",""User Manual"",""Wall Mount""]"
